delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-263,2.887,2.921,0.034,-262,-1,awaitly-postgres,npm,2026-06-04T00:30:21.724Z,1
0,4,0,1,0,1,0,0,0,2,0,0,0,0,105,8836,2.839,2.948,0.109,181,-1,awaitly-postgres,npm,2026-06-04T00:27:07.672Z,1
0,4,0,1,-1,0,0,0,0,2,0,0,0,0,-194,-9970,2.948,2.893,-0.055,655,-1,awaitly-postgres,npm,2026-06-04T00:27:18.719Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-620,2.893,2.964,0.071,-621,-1,awaitly-postgres,npm,2026-06-04T00:27:29.606Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,791,2.964,2.842,-0.122,791,-1,awaitly-postgres,npm,2026-06-04T00:27:40.081Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,-252161,2.842,3.017,0.175,-252160,-1,awaitly-postgres,npm,2026-06-04T00:27:51.142Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,812,3.017,3.021,0.004,812,-1,awaitly-postgres,npm,2026-06-04T00:28:02.587Z,1
0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,250116,3.021,2.901,-0.12,250115,-1,awaitly-postgres,npm,2026-06-04T00:28:12.642Z,1
0,27,0,0,0,0,0,1,0,3,0,0,0,0,5,98,4.968,4.967,-0.001,0,-1,66o,npm,2021-07-12T16:35:04.681Z,1
-3,58,1,1,0,0,0,1,0,0,0,0,0,0,34,6571,4.625,4.744,0.119,0,-1,66o,npm,2021-12-26T20:45:59.558Z,1
2,60,0,1,0,0,0,1,0,0,0,0,0,0,7,235,4.744,4.748,0.004,0,-1,66o,npm,2021-12-27T01:58:23.615Z,1
